seqid	geneID	source	type_gene	start_gene	end_gene	score_gene	strand_gene	phase_gene	attributes_gene	nchildrenhit	Program_code_geneID	childnames_hit	childnames_protein_hit	Prog_single_hits	childnames_NLRtracker	children_Status_Ntr	children_Domain	children_DomainSimpl	children_Subclass_p	Status_Ntr_cons	Domain_cons	DomainSimpl_cons	Subclass_p_cons	exclusive_MLKL	childnames_hmmer	children_profiles	profile_combi_cons	nonLRR_profile	childnames_NLRannotator	annotNLR	nRegions	NLRtrackerhit	hmmerhit	NLRannotatorhit	inNLRannotatoronlyregion	priority_geneID	priority_note
CP002684.1	gene-AT1G03000	Genbank	gene	687795	692660	.	-	.	ID=gene-AT1G03000;Dbxref=Araport:AT1G03000,TAIR:AT1G03000;Name=PEX6;Note=Encodes an apparent ATPase similar to yeast and human protein required for peroxisomal biogenesis. May facilitate recycling of PEX5%2C the peroxisomal matrix protein receptor%2C and thereby promote peroxisomal matrix protein import.;gbkey=Gene;gene=PEX6;gene_biotype=protein_coding;gene_synonym=F10O3.18,F10O3_18,peroxin 6;locus_tag=AT1G03000	1	2	rna-gnl|JCVI|mRNA.AT1G03000.1	AEE27513.1	2										NA	rna-gnl|JCVI|mRNA.AT1G03000.1	N	N	1			0	FALSE	TRUE	FALSE	FALSE	medium	H_nonLRR
CP002684.1	gene-AT1G03440	Genbank	gene	852151	854297	.	+	.	ID=gene-AT1G03440;Dbxref=Araport:AT1G03440,TAIR:AT1G03440;Name=AT1G03440;gbkey=Gene;gene_biotype=protein_coding;gene_synonym=F21B7.6,F21B7_6;locus_tag=AT1G03440	1	2	rna-gnl|JCVI|mRNA.AT1G03440.1	AEE27571.1	2										NA	rna-gnl|JCVI|mRNA.AT1G03440.1	L	L	0			0	FALSE	TRUE	FALSE	FALSE	very_low	H_LRR
CP002684.1	gene-AT1G04210	Genbank	gene	1114375	1119739	.	+	.	ID=gene-AT1G04210;Dbxref=Araport:AT1G04210,TAIR:AT1G04210;Name=AT1G04210;Note=Encodes a putative Raf-related kinase.;gbkey=Gene;gene_biotype=protein_coding;gene_synonym=F20D22.2,F20D22_2;locus_tag=AT1G04210	1	2	rna-gnl|JCVI|mRNA.AT1G04210.1	AEE27670.1	2										NA	rna-gnl|JCVI|mRNA.AT1G04210.1	L	L	0			0	FALSE	TRUE	FALSE	FALSE	very_low	H_LRR
CP002684.1	gene-AT1G04730	Genbank	gene	1325099	1331169	.	-	.	ID=gene-AT1G04730;Dbxref=Araport:AT1G04730,TAIR:AT1G04730;Name=CTF18;Note=Necessary for sister chromatid cohesion. Acts in synergy with ETG1.;gbkey=Gene;gene=CTF18;gene_biotype=protein_coding;gene_synonym=CHROMOSOME TRANSMISSION FIDELITY 18,T1G11.3,T1G11_3;locus_tag=AT1G04730	3	2	rna-gnl|JCVI|mRNA.AT1G04730.2;rna-gnl|JCVI|mRNA.AT1G04730.3;rna-gnl|JCVI|mRNA.AT1G04730.4	ANM59679.1;ANM59680.1;ANM59681.1	2;2;2										NA	rna-gnl|JCVI|mRNA.AT1G04730.2;rna-gnl|JCVI|mRNA.AT1G04730.3;rna-gnl|JCVI|mRNA.AT1G04730.4	N;N;N	N	1			0	FALSE	TRUE	FALSE	FALSE	medium	H_nonLRR
CP002684.1	gene-AT1G05080	Genbank	gene	1459091	1460579	.	+	.	ID=gene-AT1G05080;Dbxref=Araport:AT1G05080,TAIR:AT1G05080;Name=AT1G05080;gbkey=Gene;gene_biotype=protein_coding;gene_synonym=T7A14.5,T7A14_5;locus_tag=AT1G05080	1	2	rna-gnl|JCVI|mRNA.AT1G05080.1	AEE27788.1	2										NA	rna-gnl|JCVI|mRNA.AT1G05080.1	L	L	0			0	FALSE	TRUE	FALSE	FALSE	very_low	H_LRR
CP002684.1	gene-AT1G05700	Genbank	gene	1709673	1713474	.	+	.	ID=gene-AT1G05700;Dbxref=Araport:AT1G05700,TAIR:AT1G05700;Name=AT1G05700;gbkey=Gene;gene_biotype=protein_coding;gene_synonym=F3F20.15,F3F20_15;locus_tag=AT1G05700	2	2	rna-gnl|JCVI|mRNA.AT1G05700.1;rna-gnl|JCVI|mRNA.AT1G05700.2	AEE27878.1;ANM58902.1	2;2										NA	rna-gnl|JCVI|mRNA.AT1G05700.1;rna-gnl|JCVI|mRNA.AT1G05700.2	L;L	L	0			0	FALSE	TRUE	FALSE	FALSE	very_low	H_LRR
CP002684.1	gene-AT1G06840	Genbank	gene	2097747	2103507	.	-	.	ID=gene-AT1G06840;Dbxref=Araport:AT1G06840,TAIR:AT1G06840;Name=AT1G06840;gbkey=Gene;gene_biotype=protein_coding;gene_synonym=F4H5.8,F4H5_8;locus_tag=AT1G06840	1	2	rna-gnl|JCVI|mRNA.AT1G06840.1	AEE28044.1	2										NA	rna-gnl|JCVI|mRNA.AT1G06840.1	L	L	0			0	FALSE	TRUE	FALSE	FALSE	very_low	H_LRR
CP002684.1	gene-AT1G07390	Genbank	gene	2269622	2274901	.	+	.	ID=gene-AT1G07390;Dbxref=Araport:AT1G07390,TAIR:AT1G07390;Name=RLP1;gbkey=Gene;gene=RLP1;gene_biotype=protein_coding;gene_synonym=AtRLP1,F22G5.26,F22G5_26,receptor like protein 1;locus_tag=AT1G07390	5	2	rna-gnl|JCVI|mRNA.AT1G07390.1;rna-gnl|JCVI|mRNA.AT1G07390.3;rna-gnl|JCVI|mRNA.AT1G07390.4;rna-gnl|JCVI|mRNA.AT1G07390.2;rna-gnl|JCVI|mRNA.AT1G07390.5	AEE28117.1;AEE28119.1;ANM60456.1;AEE28118.1;ANM60455.1	2;2;2;2;2										NA	rna-gnl|JCVI|mRNA.AT1G07390.1;rna-gnl|JCVI|mRNA.AT1G07390.3;rna-gnl|JCVI|mRNA.AT1G07390.4;rna-gnl|JCVI|mRNA.AT1G07390.2;rna-gnl|JCVI|mRNA.AT1G07390.5	L;L;L;L;L	L	0			0	FALSE	TRUE	FALSE	FALSE	very_low	H_LRR
CP002684.1	gene-AT1G07550	Genbank	gene	2322543	2326570	.	-	.	ID=gene-AT1G07550;Dbxref=Araport:AT1G07550,TAIR:AT1G07550;Name=AT1G07550;gbkey=Gene;gene_biotype=protein_coding;gene_synonym=F22G5.7,F22G5_7;locus_tag=AT1G07550	1	2	rna-gnl|JCVI|mRNA.AT1G07550.1	AEE28141.1	2										NA	rna-gnl|JCVI|mRNA.AT1G07550.1	L	L	0			0	FALSE	TRUE	FALSE	FALSE	very_low	H_LRR
CP002684.1	gene-AT1G07560	Genbank	gene	2327315	2331148	.	+	.	ID=gene-AT1G07560;Dbxref=Araport:AT1G07560,TAIR:AT1G07560;Name=AT1G07560;gbkey=Gene;gene_biotype=protein_coding;gene_synonym=F22G5.6,F22G5_6;locus_tag=AT1G07560	1	2	rna-gnl|JCVI|mRNA.AT1G07560.1	AEE28142.1	2										NA	rna-gnl|JCVI|mRNA.AT1G07560.1	L	L	0			0	FALSE	TRUE	FALSE	FALSE	very_low	H_LRR
